highest_layer,transport_layer,src_ip,dst_ip,src_port,dst_port,ip_flag,packet_length,transport_flag,time,timestamp,geo_country,data
HTTP,TCP,192.168.1.35,192.168.1.1,19553,48025,16384,1,24,2019-01-19 15:41:12.562198,1547892672562,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19553,16384,0,16,2019-01-19 15:41:12.563540,1547892672563,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19553,16384,11,16,2019-01-19 15:41:12.564768,1547892672564,Unknown,
XML,TCP,192.168.1.1,192.168.1.35,48025,19553,16384,9,24,2019-01-19 15:41:12.565030,1547892672565,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19553,48025,16384,0,16,2019-01-19 15:41:12.565179,1547892672565,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19553,48025,16384,0,17,2019-01-19 15:41:12.565301,1547892672565,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19553,16384,0,17,2019-01-19 15:41:12.565326,1547892672565,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19553,48025,16384,0,16,2019-01-19 15:41:12.565419,1547892672565,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19553,16384,0,16,2019-01-19 15:41:12.567127,1547892672567,Unknown,
ICMPV6,NONE,fe80::1,ff02::1,-1,-1,-1,0,-1,2019-01-19 15:41:13.291336,1547892673291,Unknown,
SSL,TCP,192.168.1.35,216.58.196.78,19536,443,16384,0,24,2019-01-19 15:41:14.326333,1547892674326,Unknown,
SSL,TCP,192.168.1.35,216.58.196.78,19536,443,16384,0,24,2019-01-19 15:41:14.327246,1547892674327,Unknown,
TCP,TCP,192.168.1.35,216.58.196.78,19536,443,16384,0,17,2019-01-19 15:41:14.327407,1547892674327,Unknown,
TCP,TCP,216.58.196.78,192.168.1.35,443,19536,0,0,16,2019-01-19 15:41:14.409573,1547892674409,Unknown,
TCP,TCP,216.58.196.78,192.168.1.35,443,19536,0,0,17,2019-01-19 15:41:14.410032,1547892674410,Unknown,
TCP,TCP,192.168.1.35,216.58.196.78,19536,443,16384,0,16,2019-01-19 15:41:14.410190,1547892674410,Unknown,
TCP,TCP,216.58.196.78,192.168.1.35,443,19536,0,0,16,2019-01-19 15:41:14.410369,1547892674410,Unknown,
TCP,TCP,54.169.8.13,192.168.1.35,80,18748,16384,0,16,2019-01-19 15:41:14.823915,1547892674823,Unknown,
TCP,TCP,192.168.1.35,54.169.8.13,18748,80,16384,0,16,2019-01-19 15:41:14.824075,1547892674824,Unknown,
SSDP,UDP,192.168.1.35,239.255.255.250,50044,1900,0,1,-1,2019-01-19 15:41:15.555330,1547892675555,Unknown,
SSDP,UDP,192.168.1.1,192.168.1.35,1900,50044,16384,2,-1,2019-01-19 15:41:15.556806,1547892675556,Unknown,
